Order,File Name,Position
1,Blank_13,R:A12
2,Blank_14,R:A12
3,Blank_15,R:A12
4,sixmix_35,R:B12
5,srm_24,R:C12
6,Pool_qc_liver_1,R:D12
7,Pool_qc_liver_2,R:D12
8,Pool_qc_liver_3,R:D12
9,Pool_qc_liver_4,R:D12
10,L5xfad_1,R:A1
11,L5xfad_118,B:D1
12,L3xtg_124,G:B7
13,L5xfad_42,R:D9
14,L3xtg_79,Y:F6
15,L3xtg_68,Y:E6
16,L5xfad_74,R:G8
17,L5xfad_9,R:A9
18,L5xfad_56,R:F1
19,L3xtg_129,G:C1
20,Pool_qc_liver_5,R:D12
21,sixmix_36,R:B12
22,L5xfad_135,B:E7
23,L3xtg_73,Y:E11
24,L5xfad_16,R:B5
25,L3xtg_75,Y:F2
26,L5xfad_102,B:B7
27,L3xtg_36,Y:B7
28,L3xtg_142,G:D3
29,L5xfad_36,R:D3
30,L3xtg_118,G:B1
31,L3xtg_158,G:E8
32,Pool_qc_liver_6,R:D12
33,sixmix_37,R:B12
34,L5xfad_6,R:A6
35,L5xfad_141,B:F2
36,L3xtg_3,G:G7
37,L3xtg_60,Y:D9
38,L5xfad_138,B:E10
39,L5xfad_115,B:C9
40,L5xfad_80,R:H3
41,L3xtg_94,Y:G10
42,L5xfad_111,B:C5
43,L5xfad_147,B:F8
44,Pool_qc_liver_7,R:D12
45,srm_25,R:C12
46,sixmix_38,R:B12
47,L5xfad_65,R:F10
48,L3xtg_34,Y:B5
49,L5xfad_49,R:E5
50,L3xtg_24,Y:A6
51,L3xtg_109,G:A3
52,L5xfad_112,B:C6
53,L3xtg_151,G:E1
54,L3xtg_83,Y:F10
55,L3xtg_150,G:D11
56,L5xfad_43,R:D10
57,Pool_qc_liver_8,R:D12
58,sixmix_39,R:B12
59,L3xtg_46,Y:C6
60,L3xtg_90,Y:G6
61,L5xfad_45,R:E1
62,L5xfad_37,R:D4
63,L5xfad_10,R:A10
64,L5xfad_109,B:C3
65,L5xfad_117,B:C11
66,L3xtg_65,Y:E3
67,L3xtg_39,Y:B10
68,L3xtg_53,Y:D2
69,Pool_qc_liver_9,R:D12
70,sixmix_40,R:B12
71,L5xfad_61,R:F6
72,L3xtg_41,Y:C1
73,L3xtg_23,Y:A5
74,L3xtg_107,G:A1
75,L5xfad_85,B:A1
76,L5xfad_133,B:E5
77,L5xfad_19,R:B8
78,L5xfad_50,R:E6
79,L3xtg_11,G:H4
80,L5xfad_54,R:E10
81,Pool_qc_liver_10,R:D12
82,sixmix_41,R:B12
83,L3xtg_13,G:H6
84,L3xtg_141,G:D2
85,L3xtg_154,G:E4
86,L5xfad_46,R:E2
87,L5xfad_90,B:A6
88,L5xfad_139,B:E11
89,L5xfad_94,B:A10
90,L5xfad_53,R:E9
91,L3xtg_119,G:B2
92,L5xfad_101,B:B6
93,Pool_qc_liver_11,R:E12
94,srm_26,R:C12
95,sixmix_42,R:B12
96,L3xtg_51,Y:C11
97,L3xtg_58,Y:D7
98,L3xtg_71,Y:E9
99,L5xfad_114,B:C8
100,L3xtg_144,G:D5
101,L3xtg_92,Y:G8
102,L3xtg_30,Y:B1
103,L3xtg_29,Y:A11
104,L3xtg_95,Y:G11
105,L5xfad_149,B:F10
106,Pool_qc_liver_12,R:D12
107,sixmix_43,R:B12
108,L5xfad_4,R:A4
109,L5xfad_21,R:B10
110,L3xtg_130,G:C2
111,L3xtg_100,Y:H5
112,L3xtg_40,Y:B11
113,L3xtg_42,Y:C2
114,L5xfad_69,R:G3
115,L3xtg_93,Y:G9
116,L5xfad_38,R:D5
117,L3xtg_25,Y:A7
118,Pool_qc_liver_13,R:E12
119,sixmix_44,R:B12
120,L5xfad_143,B:F4
121,L3xtg_89,Y:G5
122,L5xfad_68,R:G2
123,L3xtg_22,Y:A4
124,L5xfad_132,B:E4
125,L5xfad_2,R:A2
126,L3xtg_132,G:C4
127,L3xtg_76,Y:F3
128,L5xfad_7,R:A7
129,L5xfad_78,R:H1
130,Pool_qc_liver_14,R:E12
131,srm_27,B:C12
132,sixmix_45,R:B12
133,L5xfad_134,B:E6
134,L5xfad_73,R:G7
135,L5xfad_75,R:G9
136,L5xfad_107,B:C1
137,L5xfad_106,B:B11
138,L5xfad_88,B:A4
139,L3xtg_37,Y:B8
140,L5xfad_103,B:B8
141,L3xtg_21,Y:A3
142,L5xfad_47,R:E3
143,Pool_qc_liver_15,R:E12
144,sixmix_46,R:B12
145,L5xfad_145,B:F6
146,L3xtg_2,G:G6
147,L3xtg_64,Y:E2
148,L3xtg_16,G:H9
149,L3xtg_145,G:D6
150,L3xtg_47,Y:C7
151,L5xfad_79,R:H2
152,L3xtg_54,Y:D3
153,L3xtg_156,G:E6
154,L3xtg_35,Y:B6
155,Pool_qc_liver_16,R:E12
156,sixmix_47,R:B12
157,L5xfad_44,R:D11
158,L5xfad_83,R:H6
159,L5xfad_127,B:D10
160,L5xfad_71,R:G5
161,L3xtg_96,Y:H1
162,L3xtg_116,G:A10
163,L5xfad_144,B:F5
164,L5xfad_11,R:A11
165,L5xfad_55,R:E11
166,L5xfad_93,B:A9
167,Pool_qc_liver_17,R:E12
168,srm_28,B:C12
169,sixmix_48,R:B12
170,L5xfad_86,B:A2
171,L3xtg_110,G:A4
172,L3xtg_91,Y:G7
173,L5xfad_29,R:C7
174,L5xfad_77,R:G11
175,L3xtg_32,Y:B3
176,L5xfad_92,B:A8
177,L3xtg_155,G:E5
178,L3xtg_147,G:D8
179,L5xfad_146,B:F7
180,Pool_qc_liver_18,R:E12
181,sixmix_49,R:B12
182,L3xtg_8,G:H1
183,L3xtg_131,G:C3
184,L5xfad_64,R:F9
185,L5xfad_5,R:A5
186,L5xfad_82,R:H5
187,L3xtg_108,G:A2
188,L5xfad_125,B:D8
189,L5xfad_63,R:F8
190,L3xtg_74,Y:F1
191,L3xtg_103,Y:H8
192,Pool_qc_liver_19,R:F12
193,sixmix_50,R:B12
194,L5xfad_96,B:B1
195,L5xfad_110,B:C4
196,L5xfad_122,B:D5
197,L5xfad_34,R:D1
198,L5xfad_124,B:D7
199,L5xfad_48,R:E4
200,L3xtg_31,Y:B2
201,L3xtg_137,G:C9
202,L3xtg_112,G:A6
203,L5xfad_35,R:D2
204,Pool_qc_liver_20,R:F12
205,srm_29,B:C12
206,sixmix_51,R:B12
207,L3xtg_72,Y:E10
208,L5xfad_60,R:F5
209,L3xtg_125,G:B8
210,L5xfad_31,R:C9
211,L5xfad_33,R:C11
212,L3xtg_113,G:A7
213,L3xtg_17,G:H10
214,L5xfad_81,R:H4
215,L3xtg_134,G:C6
216,L5xfad_62,R:F7
217,Pool_qc_liver_21,R:F12
218,sixmix_52,R:B12
219,L5xfad_84,R:H7
220,L3xtg_104,Y:H9
221,L5xfad_18,R:B7
222,L3xtg_97,Y:H2
223,L3xtg_128,G:B11
224,L5xfad_113,B:C7
225,L3xtg_84,Y:F11
226,L3xtg_122,G:B5
227,L5xfad_97,B:B2
228,L5xfad_123,B:D6
229,Pool_qc_liver_22,R:F12
230,sixmix_53,R:B12
231,L5xfad_95,B:A11
232,L3xtg_12,G:H5
233,L3xtg_138,G:C10
234,L3xtg_38,Y:B9
235,L3xtg_19,Y:A1
236,L5xfad_59,R:F4
237,L3xtg_52,Y:D1
238,L3xtg_78,Y:F5
239,L3xtg_159,G:E9
240,L5xfad_128,B:D11
241,Pool_qc_liver_23,R:F12
242,srm_30,Y:C12
243,sixmix_54,R:B12
244,L5xfad_98,B:B3
245,L5xfad_67,R:G1
246,L3xtg_56,Y:D5
247,L5xfad_30,R:C8
248,L5xfad_40,R:D7
249,L3xtg_7,G:G11
250,L3xtg_63,Y:E1
251,L3xtg_26,Y:A8
252,L5xfad_24,R:C2
253,L3xtg_123,G:B6
254,Pool_qc_liver_24,R:F12
255,sixmix_55,R:B12
256,L5xfad_76,R:G10
257,L5xfad_12,R:B1
258,L3xtg_111,G:A5
259,L5xfad_131,B:E3
260,L3xtg_43,Y:C3
261,L3xtg_105,Y:H10
262,L3xtg_18,G:H11
263,L5xfad_130,B:E2
264,L3xtg_133,G:C5
265,L3xtg_5,G:G9
266,Pool_qc_liver_25,R:F12
267,sixmix_56,R:B12
268,L3xtg_59,Y:D8
269,L3xtg_148,G:D9
270,L3xtg_77,Y:F4
271,L3xtg_45,Y:C5
272,L5xfad_129,B:E1
273,L3xtg_87,Y:G3
274,L3xtg_157,G:E7
275,L5xfad_91,B:A7
276,L5xfad_26,R:C4
277,L3xtg_85,Y:G1
278,Pool_qc_liver_26,R:G12
279,srm_31,Y:C12
280,sixmix_57,R:B12
281,L5xfad_3,R:A3
282,L3xtg_135,G:C7
283,L5xfad_108,B:C2
284,L3xtg_99,Y:H4
285,L3xtg_66,Y:E4
286,L3xtg_117,G:A11
287,L5xfad_32,R:C10
288,L3xtg_126,G:B9
289,L3xtg_120,G:B3
290,L5xfad_119,B:D2
291,Pool_qc_liver_27,R:G12
292,sixmix_58,R:B12
293,L5xfad_27,R:C5
294,L3xtg_82,Y:F9
295,L5xfad_41,R:D8
296,L3xtg_48,Y:C8
297,L5xfad_137,B:E9
298,L3xtg_6,G:G10
299,L5xfad_57,R:F2
300,L3xtg_86,Y:G2
301,L3xtg_28,Y:A10
302,L3xtg_4,G:G8
303,Pool_qc_liver_28,R:G12
304,sixmix_59,R:B12
305,L3xtg_55,Y:D4
306,L5xfad_70,R:G4
307,L5xfad_23,R:C1
308,L3xtg_49,Y:C9
309,L3xtg_114,G:A8
310,L5xfad_100,B:B5
311,L5xfad_99,B:B4
312,L5xfad_142,B:F3
313,L3xtg_1,G:G5
314,L5xfad_14,R:B3
315,Pool_qc_liver_29,R:G12
316,sixmix_60,Y:C12
317,srm_32,R:C12
318,L3xtg_20,Y:A2
319,L5xfad_17,R:B6
320,L3xtg_50,Y:C10
321,L3xtg_121,G:B4
322,L5xfad_51,R:E7
323,L5xfad_136,B:E8
324,L5xfad_20,R:B9
325,L5xfad_25,R:C3
326,L3xtg_57,Y:D6
327,L5xfad_39,R:D6
328,Pool_qc_liver_30,R:G12
329,sixmix_61,R:B12
330,L3xtg_70,Y:E8
331,L3xtg_106,Y:H11
332,L3xtg_149,G:D10
333,L5xfad_87,B:A3
334,L5xfad_116,B:C10
335,L3xtg_139,G:C11
336,L5xfad_126,B:D9
337,L5xfad_28,R:C6
338,L5xfad_104,B:B9
339,L5xfad_66,R:F11
340,Pool_qc_liver_31,R:H12
341,sixmix_62,R:B12
342,L3xtg_115,G:A9
343,L5xfad_105,B:B10
344,L3xtg_27,Y:A9
345,L5xfad_121,B:D4
346,L5xfad_148,B:F9
347,L3xtg_101,Y:H6
348,L5xfad_8,R:A8
349,L3xtg_98,Y:H3
350,L3xtg_14,G:H7
351,L5xfad_58,R:F3
352,Pool_qc_liver_32,R:H12
353,srm_33,G:C12
354,sixmix_63,R:B12
355,L5xfad_22,R:B11
356,L3xtg_10,G:H3
357,L5xfad_140,B:F1
358,L3xtg_67,Y:E5
359,L5xfad_15,R:B4
360,L3xtg_44,Y:C4
361,L5xfad_13,R:B2
362,L5xfad_89,B:A5
363,L3xtg_140,G:D1
364,L3xtg_127,G:B10
365,Pool_qc_liver_33,R:H12
366,sixmix_64,R:B12
367,L5xfad_72,R:G6
368,L3xtg_143,G:D4
369,L5xfad_120,B:D3
370,L3xtg_61,Y:D10
371,L3xtg_33,Y:B4
372,L3xtg_153,G:E3
373,L3xtg_102,Y:H7
374,L3xtg_15,G:H8
375,L3xtg_160,G:E10
376,L5xfad_52,R:E8
377,Pool_qc_liver_34,R:H12
378,sixmix_65,R:B12
379,L3xtg_81,Y:F8
380,L3xtg_9,G:H2
381,L3xtg_62,Y:D11
382,L3xtg_136,G:C8
383,Pool_qc_liver_35,R:H12
384,sixmix_66,R:B12
385,srm_34,G:C12
386,Blank_16,B:A12
387,Blank_17,B:A12
388,Blank_18,B:A12