"Sample ID"	Current_Natural_Log_Ratio	strain_sex	strain_sex
14957.MOUSE67.CAGE112.FSPFWT.S5	-2.311375475776064	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L1.1	-3.448173419904702	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE97.FSPFHET.L3.2	-1.1935540484185942	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE189.MSPFHET.L4.1	0.26504435271622384	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE74.CAGE114.FSPFWT.S5	-0.7524872861205623	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L5.2	-7.471015164743967	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE113.FSPFHET.L3.2	1.2498880223593378	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE78.MSPFHET.L3.1	1.3493957458668273	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE189.MSPFHET.L3.1	0.06832649526729995	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE25.CAGE79.MSPFWT.S8	-0.7548350534420667	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE16.CAGE77.MSPFHET.S8	2.6648971335584815	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE114.FSPFWT.L3.2	-0.1415116735086741	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE28.CAGE80.MSFPWT.S8	0.03385740059066222	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE98.FSPFWT.L3.2	-3.639099553548002	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE46.CAGE98.FSPFWT.S5	-1.036534844373639	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE20.CAGE78.MSPFHET.S8	-1.6698049800411052	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE19.CAGE78.MSPFHET.S8	1.8143168328278527	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L6.1	-1.4198260782983052	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE97.FSPFHET.L2.2	2.1442512012543915	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE32.CAGE96.FSPFHET.S5	-0.20670076246544689	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE114.FSPFWT.L2.1	0.1216138487140288	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE113.FSPFHET.L2.2	-2.156742509569776	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L2.1	-1.6048717093263551	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE80.MSPFWT.L5.2	-1.2331368534976885	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE69.CAGE112.FSPFWT.S5	-3.3254572453176543	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE90.CAGE144.MSPFWT.S5	-0.24467672638252402	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE68.CAGE112.FSPFWT.S5	-2.776161962439245	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE175.MSPFHET.L4.1	-3.2530123675404603	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE96.FSPFHET.L1.1	-2.305487964101042	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE162.FSPFWT.L7.2	-1.2416984497306505	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE21.CAGE78.MSPFHET.S8	0.72607669974259	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE78.MSPFHET.L6.1	-2.747543748767006	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE31.CAGE96.FSPFHET.S5	-1.4654248616777874	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE33.CAGE96.FSPFHET.S5	-0.5263204034999145	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE37.CAGE97.FSPFHET.S5	-2.6956716864723145	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE77.MSPFHET.L5.2	-1.472029300706966	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE38.CAGE97.FSPFHET.S5	-0.7511712965555546	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L1.1	-3.5299845861080765	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE82.CAGE142.MSPFWT.S5	-3.81902152242108	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE96.FSPFHET.L2.2	-2.5654966361278344	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE112.FSPFWT.L2.1	-4.292536870983932	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE79.MSPFWT.L5.2	-1.173862673069884	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE30.CAGE80.MSFPWT.S8	0.7936722989206864	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE147.FSPFHET.L5.1	-3.7036208824329453	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L1.2	-1.7014599651172908	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE96.FSPFHET.L2.1	-0.7512411275515838	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE79.MSPFWT.L5.1	-2.140375945987186	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L5.2	-0.467643850681128	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE83.CAGE142.MSPFWT.S5	-2.05186903603909	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE17.CAGE77.MSPFHET.S8	2.7027428240669575	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE47.CAGE98.FSPFWT.S5	-1.37711050305224	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE29.CAGE80.MSFPWT.S8	-0.045863882590197136	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE97.FSPFHET.L2.1	1.0481629065916813	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE80.MSPFWT.L5.1	1.2390541892701936	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE113.FSPFHET.L2.1	-0.9469343001714652	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE87.CAGE144.MSPFWT.S5	-4.055810109794184	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE112.FSPFWT.L2.2	0.44388319788205344	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE162.FSPFWT.L7.1	-1.9391916319080842	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE18.CAGE77.MSPFHET.S8	2.4365048065727013	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE88.CAGE144.MSPFWT.S5	1.2730912548091222	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE89.CAGE144.MSPFWT.S5	0.4802576827113416	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE113.FSPFHET.L3.1	-0.10814544831138484	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE189.MSPFHET.L3.2	-0.5126223577289739	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE114.FSPFWT.L3.1	-0.3509824405447297	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE78.MSPFHET.L5.1	-1.3208868576468777	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L5.1	-3.0858312753552344	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE15.CAGE77.MSPFHET.S8	1.9842619862006856	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE97.FSPFHET.L1.1	-2.5943420203634613	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE26.CAGE79.MSPFWT.S8	2.212661413023083	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE97.FSPFHET.L3.1	-2.246275993588105	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE75.CAGE114.FSPFWT.S5	3.759981251033043	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE27.CAGE80.MSFPWT.S8	1.673362935011454	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE97.FSPFHET.L1.2	-0.12882691270714552	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L3.1	-4.308873641947619	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE45.CAGE98.FSPFWT.S5	-2.297765055498955	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE136.MSPFWT.L5.2	-2.0654976618333603	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L4.2	3.2645445007125087	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE154.FSPFHET.L5.1	-0.9604377336971055	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE150.FSPFHET.L7.2	-0.1471837815799084	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE98.FSPFWT.L2.2	-0.893082135233513	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE34.CAGE96.FSPFHET.S5	-2.610118753548889	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE114.FSPFWT.L2.2	-0.14775291829771398	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE175.MSPFHET.L4.2	-2.435700193954684	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE70.CAGE113.FSPFHET.S5	-1.2972812517918353	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE94.CAGE148.FSPFHET.S8	-6.121427392655832	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE22.CAGE79.MSPFHET.S8	0.5092201596763726	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE112.FSPFWT.L3.1	1.5527048265971803	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE96.FSPFHET.L3.1	-2.326601656723465	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE23.CAGE79.MSPFWT.S8	-0.16959260006086296	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE185.MSPFWT.L3.1	0.02973825526168916	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE71.CAGE113.FSPFHET.S5	-1.7772578607825231	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE96.FSPFHET.L3.2	-1.2613962193736654	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE35.CAGE97.FSPFHET.S5	-0.5756889330731987	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE96.FSPFHET.L1.2	-2.556369805611565	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE72.CAGE113.FSPFHET.S5	-2.622699583626366	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE95.CAGE148.FSPFHET.S8	-6.745573331348277	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE96.CAGE148.FSPFHET.S8	-4.912293343367452	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE24.CAGE79.MSPFWT.S8	0.2679076427154321	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE36.CAGE97.FSPFHET.S5	-2.1180950250821997	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE185.MSPFWT.L3.2	2.161562592146627	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE112.FSPFWT.L3.2	1.270200970105579	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE73.CAGE114.FSPFWT.S5	0.6599759774203307	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE91.CAGE144.MSPFWT.S5	1.8023561882306431	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE107.CAGE154.FSPFHET.S8	-0.4072239232893402	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE184.MSPFHET.L2.1	-1.9953399797984996	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE148.FSPFHET.L7.1	-4.516451154491705	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE80.MSPFWT.L2.1	2.7931437903784246	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE80.MSPFWT.L2.2	2.8523437565351433	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE147.FSPFHET.L2.1	-3.2139561479912313	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE142.MSPFWT.L3.1	-4.157057178831428	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE136.MSPFWT.L5.1	-2.486857068719706	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE150.FSPFHET.L5.2	0.40900865685142307	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE78.MSPFHET.L3.2	0.2713810290993397	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE80.MSPFWT.L4.1	4.941229628240064	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE151.MSPFWT.L5.1	-1.6907162433482341	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE151.MSPFWT.L7.1	0.9168469721843042	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE79.MSPFWT.L3.1	1.9764315191215776	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE147.FSPFHET.L7.1	-6.596519047589431	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE80.MSPFWT.L4.2	4.620278022648398	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE136.MSPFWT.L4.1	-1.1070327692515036	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE148.FSPFHET.L7.2	-6.394769692998497	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE184.MSPFHET.L2.2	1.1419579110087827	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE142.MSPFWT.L2.2	-4.8547953372238215	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L4.1	2.5108868726948614	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE189.MSPFHET.L2.2	0.5437950094955486	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE145.FSPFWT.L2.2	-0.6387654550244211	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L2.2	-4.929653989462825	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE148.FSPFHET.L5.1	-2.7540363093802966	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE189.MSPFHET.L4.2	-0.2318332757006143	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE173.MSPFWT.L4.2	-7.23385135373191	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE145.FSPFWT.L7.2	-0.7664978741251822	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE162.FSPFWT.L4.2	-2.135113149971758	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE162.FSPFWT.L4.1	-1.569556944477382	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE184.MSPFHET.L4.2	-1.212094895773694	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE154.FSPFHET.L7.2	-2.5487983449534948	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE185.MSPFWT.L2.2	3.5401235930221944	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE113.CAGE162.FSPFWT.S8	0.7880259121944704	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE108.CAGE173.MSPFWT.S8	-0.8419385196226727	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE147.FSPFHET.L4.1	-3.7678086719069803	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE144.MSPFWT.L2.2	3.670358197396146	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE145.FSPFWT.L2.1	-5.200032998553899	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE173.MSPFWT.L4.1	-7.283734404094056	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE77.MSPFHET.L2.2	2.3385604391565877	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L4.2	0.9796510206594622	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE147.FSPFHET.L7.2	-4.818397328525706	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE150.FSPFHET.L5.1	0.7578543731357623	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE185.MSPFWT.L2.1	0.8471917466256222	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE79.MSPFWT.L4.1	2.211853620830846	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE79.MSPFWT.L4.2	2.326328448271509	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE145.FSPFWT.L7.1	-1.8149832777512742	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE147.FSPFHET.L4.2	-3.6471745977340486	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE147.FSPFHET.L1.2	-5.033276363079668	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE147.FSPFHET.L6.1	-3.7155887853526313	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE150.FSPFHET.L7.1	-1.3840256358106373	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE147.FSPFHET.L6.2	-4.632278185309673	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE77.MSPFHET.L2.1	0.09314327234501718	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L3.2	1.0358348350961926	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE78.MSPFHET.L2.2	1.6849366503285257	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE123.CAGE184.MSPFHETS5	0.7329832805701724	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE144.MSPFWT.L3.1	2.038132609132317	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE122.CAGE184.MSPFHETS5	1.259868568101	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE104.CAGE136.MSPFWT.S8	-0.5508013014247197	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE139.CAGE145.FSPFWT.S8	1.2091404968171382	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE124.CAGE185.MSPFWT.S5	1.5883210534117431	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE154.FSPFHET.L5.2	0.36560766481104956	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE162.FSPFWT.L6.1	-0.6169377055914183	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE185.MSPFWT.L4.1	-1.8527778776966795	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE144.MSPFWT.L3.2	1.4848030687153173	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE80.MSPFWT.L3.2	4.050541325926391	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE144.MSPFWT.L2.1	5.305159515266546	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE145.FSPFWT.L3.2	0.17506984805089587	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE145.FSPFWT.L5.2	-1.0301993794998658	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE136.MSPFWT.L7.1	-3.2611704462576068	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE79.MSPFWT.L2.2	1.2773581655055501	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE185.MSPFWT.L4.2	-2.400716617297025	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE162.FSPFWT.L6.2	-1.385352740613719	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE136.MSPFWT.L4.2	-0.9190123946490942	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE151.MSPFWT.L7.2	0.5649655608507764	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE184.MSPFHET.L4.1	-1.205683009560932	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE77.MSPFHET.L3.1	0.3672061110077731	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE103.CAGE136.MSPFWT.S8	-0.8626448942784091	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE189.MSPFHET.L2.1	0.27666456192190303	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE80.MSPFWT.L3.1	3.8718432295137486	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE114.CAGE162.FSPFWT.S8	-0.6466304654947308	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE100.CAGE151.MSPFWT.S8	-0.5851155580492335	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE115.CAGE175.MSPFHET.S5	0.20516766422019472	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE135.CAGE145.FSPFWT.S8	-2.161151124562851	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE136.CAGE145.FSPFWT.S8	0.7512967837072484	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE98.CAGE150.FSPFHET.S8	1.4289971466259104	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE116.CAGE175.MSPFHET.S5	-3.8048399620941993	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE137.CAGE145.FSPFWT.S8	0.5920296368772071	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.MOUSE121.CAGE184.MSPFHETS5	0.45942731844766094	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE99.CAGE151.MSPFWT.S8	0.9163949227139803	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE138.CAGE145.FSPFWT.S8	1.2591354032203217	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE151.MSPFWT.L5.2	0.21881527735476247	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE142.MSPFWT.L3.2	-3.927067527806299	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE154.FSPFHET.L7.1	-2.834757654875645	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.CAGE142.MSPFWT.L2.1	-6.1901118951136835	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE78.MSPFHET.L2.1	0.07768101893312007	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE79.MSPFWT.L3.2	3.4113555145800873	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE131.CAGE189.MSPFHET.S5	1.128670921416946	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE109.CAGE173.MSPFWT.S8	-4.384445408154045	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE97.CAGE150.FSPFHET.S8	0.6599247491352411	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE132.CAGE189.MSPFHET.S5	-1.5451637266572913	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.CAGE148.FSPFHET.L5.2	-3.91969538187049	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE145.FSPFWT.L5.1	-0.35475624211629864	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE136.MSPFWT.L7.2	-3.5194355701372597	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE145.FSPFWT.L3.1	0.9760771764271716	"WT 5XFAD_female"	"WT 5XFAD_female"
14957.CAGE79.MSPFWT.L2.1	-2.8452334186124375	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.CAGE77.MSPFHET.L4.1	2.065967742886098	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE105.CAGE136.MSPFWT.S8	0.47756531171785177	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE106.CAGE154.FSPFHET.S8	-1.9726566236928154	"Het 5XFAD_female"	"Het 5XFAD_female"
14957.MOUSE130.CAGE189.MSPFHET.S5	0.7141097975961053	"Het 5XFAD_male"	"Het 5XFAD_male"
14957.MOUSE126.CAGE185.MSPFWT.S5	-3.6608225100747003	"WT 5XFAD_male"	"WT 5XFAD_male"
14957.MOUSE125.CAGE185.MSPFWT.S5	-1.6550410430948936	"WT 5XFAD_male"	"WT 5XFAD_male"